seed,time,offload_decision_count,offload_to_vehicle_count,offload_to_uav_count,offload_to_rsu_count,offload_to_cloud_count,offload_to_unknown_count,active_link_count,allocated_rb_total,allocated_rb_mean_per_active_link,cpu_progress_total,computing_task_count,uav_mean_speed,uav_mean_displacement
0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.511423089524847,2.451142308952475
0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.867931846186133,1.5867931846186272
0,11.2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,50.0,50.0,0.672347741438035,0.0,28.251314356422785,2.8251314356422874
0,11.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,17.682685297236315,1.768268529723629
0,11.4,2.0,0.0,0.0,2.0,0.0,0.0,2.0,50.0,25.0,0.5727622118172959,2.0,28.739283115488398,2.873928311548811
0,11.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4068942411596008,2.0,17.563937756985524,1.7563937756985282
0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09315591292190664,0.0,17.135301235283766,1.7135301235283658
0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.324712502620443,2.332471250262063
0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.561196526939625,2.1561196526939623
0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.192487314073922,1.9192487314074143
0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,50.0,50.0,0.5217162658232979,0.0,13.186863251342263,1.3186863251342391
0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.20335637007226,2.6203356370072246
0,12.2,10.0,6.0,0.0,4.0,0.0,0.0,4.0,20.0,5.0,2.0,10.0,26.543822827229537,2.654382282722956
0,12.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7707325953470572,7.0,20.605095103321826,2.0605095103322646
0,12.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.104915000282646,6.0,14.978262967506966,1.4978262967506655
0,12.5,2.0,1.0,0.0,1.0,0.0,0.0,1.0,25.0,25.0,0.820475196137644,5.0,20.464535353788204,2.0464535353788658
0,12.6,2.0,0.0,1.0,1.0,0.0,0.0,1.0,50.0,50.0,1.2044064258359652,4.0,18.31785772645741,1.8317857726457416
0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2937071384176236,0.0,14.780399797923096,1.4780399797923636
0,12.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,16.57179413463483,1.6571794134634645
0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,25.35816387058705,2.5358163870587265
0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334223536035349,1.0,19.46111957567677,1.9461119575676755
0,13.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,18.288045963806393,1.8288045963806505
0,13.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20180212213895485,2.0,26.414383208150863,2.6414383208150767
0,13.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3442742119531066,2.0,13.72305633074038,1.372305633074054
0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2106157577645472,1.0,17.00506291256211,1.7005062912561701
0,13.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2818769204689552,1.0,25.562460453201716,2.5562460453201714
0,13.6,2.0,1.0,0.0,1.0,0.0,0.0,1.0,25.0,25.0,0.4366955540533318,2.0,22.651967759174166,2.265196775917435
0,13.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5225210556321283,1.0,19.4601852720562,1.946018527205621
0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,16.42031232717405,1.6420312327174802
