path,module,size_bytes,sha256,imported_by_count,current_imported_by_count,test_file_count,proposed_action,proposed_target,rollback_path
code/src/pi_jwm/r6_joint_policy_preflight.py,pi_jwm.r6_joint_policy_preflight,6976,6481cb223049c480eac8f5a37e8921a5b4d20b6dbd2cafd1f3872bf9d36305c5,2,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/r6_joint_policy_preflight.py
code/src/pi_jwm/r6_learning_policy.py,pi_jwm.r6_learning_policy,7593,f16d635912db14405060f43bd9ee31642e8fa85d4b7882ec505834645cef5b75,2,0,2,keep_in_place_logical_archive,,code/src/pi_jwm/r6_learning_policy.py
code/src/pi_jwm/r6_learning_policy_contract.py,pi_jwm.r6_learning_policy_contract,6766,1267ca703e4ae076ae3cdb2e9dcc02c72c070b41e9d42244cc854044495d5972,9,0,7,keep_in_place_logical_archive,,code/src/pi_jwm/r6_learning_policy_contract.py
code/src/pi_jwm/r6_learning_policy_preflight.py,pi_jwm.r6_learning_policy_preflight,19464,1d0dca2ce828a462e752ba67a88c06e6cb93ebc7b3ea6926ced231caa99f22db,4,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/r6_learning_policy_preflight.py
code/src/pi_jwm/r6_learning_policy_safety.py,pi_jwm.r6_learning_policy_safety,6570,a680fc885295b95786a9f9b9bc0a1a3c6110b42ab72085e822503ea46d164bf0,1,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/r6_learning_policy_safety.py
code/src/pi_jwm/r6_learning_policy_training.py,pi_jwm.r6_learning_policy_training,5616,97bcc8611598ea066015cd7a99b5e2b75548f2288ed6e9609e367b15109ccbf4,1,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/r6_learning_policy_training.py
code/src/pi_jwm/r6_online_observation.py,pi_jwm.r6_online_observation,12216,3732476b03d8ea6f38a170d2ac903a9cdd2a36d7a90f8175fd87c4685c23a33b,2,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/r6_online_observation.py
code/src/pi_jwm/r6_reward_protocol.py,pi_jwm.r6_reward_protocol,11572,9257101e6c71141a51b1c1ef7c7694796f0873ecc4ba41111328e1926ee32687,5,0,3,keep_in_place_logical_archive,,code/src/pi_jwm/r6_reward_protocol.py
code/src/pi_jwm/r6_reward_surrogate.py,pi_jwm.r6_reward_surrogate,16288,3e9c8d5a93144ae9d71c07ef99916b14fa76290a4efe7a22fab3d3dac2ba2d1c,1,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/r6_reward_surrogate.py
code/src/pi_jwm/r6_rollout.py,pi_jwm.r6_rollout,4633,d5cdd279b943f28d2def60b792a0c862a03a309020c4dea2bc92d1babc63a91e,3,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/r6_rollout.py
